,year,film,wiki,rating,numVotes,worldwide_box_office,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western
85,1944,Double Indemnity,/wiki/Double_Indemnity,8.3,160383.0,"$14,651",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,1944,Gaslight ,/wiki/Gaslight_(1944_film),7.4,23550.0,"$37,591,674",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,1944,Wilson ,/wiki/Wilson_(1944_film),5.8,10851.0,"$848,646",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1945,The Bells of St. Mary's,/wiki/The_Bells_of_St._Mary%27s,7.2,8704.0,"$21,337,978",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1945,Mildred Pierce ,/wiki/Mildred_Pierce_(film),7.9,27228.0,"$10,128",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
90,1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,8.1,66826.0,"$23,661,347",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
91,1946,Henry V ,/wiki/Henry_V_(1944_film),7.5,30647.0,"$10,161,099",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,1946,It's a Wonderful Life,/wiki/It%27s_a_Wonderful_Life,8.6,470690.0,"$8,574,081",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1946,The Razor's Edge ,/wiki/The_Razor%27s_Edge_(1946_film),6.4,5665.0,"$6,551,987",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
94,1947,The Bishop's Wife,/wiki/The_Bishop%27s_Wife,7.6,19305.0,$16,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1947,Crossfire ,/wiki/Crossfire_(film),5.7,2340.0,"$456,350",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1947,Great Expectations ,/wiki/Great_Expectations_(1946_film),4.9,2169.0,"$55,494,066",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,1947,Miracle on 34th Street,/wiki/Miracle_on_34th_Street,7.9,51123.0,$527,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,1948,Hamlet ,/wiki/Hamlet_(1948_film),7.7,38945.0,"$6,288,230",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1948,The Red Shoes ,/wiki/The_Red_Shoes_(1948_film),8.1,36741.0,"$30,846",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
100,1948,The Snake Pit,/wiki/The_Snake_Pit,7.6,8019.0,$560,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1948,The Treasure of the Sierra Madre ,/wiki/The_Treasure_of_the_Sierra_Madre_(film),8.2,127703.0,"$5,014,000",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,1949,All the King's Men ,/wiki/All_the_King%27s_Men_(1949_film),6.1,25115.0,"$9,451,623",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,1949,Battleground ,/wiki/Battleground_(film),7.4,7548.0,"$10,337",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1949,The Heiress,/wiki/The_Heiress,8.1,16404.0,$158,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,1949,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,7.7,10176.0,"$14,768",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,1950,All About Eve,/wiki/All_About_Eve,8.2,133678.0,"$151,052",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,1950,Born Yesterday ,/wiki/Born_Yesterday_(1950_film),7.5,11779.0,"$17,952,857",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108,1950,Father of the Bride ,/wiki/Father_of_the_Bride_(1950_film),6.5,80195.0,"$89,325,780",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,1950,King Solomon's Mines ,/wiki/King_Solomon%27s_Mines_(1950_film),5.2,14154.0,"$15,057,465",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,1951,An American in Paris ,/wiki/An_American_in_Paris_(film),7.2,35210.0,"$272,619",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
111,1951,Decision Before Dawn,/wiki/Decision_Before_Dawn,7.2,2824.0,"$608,881",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112,1951,Quo Vadis ,/wiki/Quo_Vadis_(1951_film),7.1,15868.0,"$101,486",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,1951,A Streetcar Named Desire ,/wiki/A_Streetcar_Named_Desire_(1951_film),7.9,110938.0,"$49,523",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1952,Ivanhoe ,/wiki/Ivanhoe_(1952_film),6.7,5233.0,"$5,246",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1952,Moulin Rouge ,/wiki/Moulin_Rouge_(1952_film),7.6,290938.0,"$184,935,320",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
116,1953,From Here to Eternity,/wiki/From_Here_to_Eternity,7.6,48692.0,"$36,416",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
117,1953,Julius Caesar ,/wiki/Julius_Caesar_(1953_film),7.2,12139.0,"$10,831",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1953,The Robe ,/wiki/The_Robe_(film),6.7,11057.0,"$36,010,866",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,1953,Roman Holiday,/wiki/Roman_Holiday,8.0,142075.0,"$6,607",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,1953,Shane ,/wiki/Shane_(film),7.6,42337.0,"$146,987",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,1954,The Caine Mutiny ,/wiki/The_Caine_Mutiny_(film),7.7,28651.0,"$21,750,000",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
